id,2023-09-24,2023-09-28,2023-09-29
MLA720774445,3543.0,3543.0,3543.0
MLA1292466021,21299.0,21299.0,21299.0
MLA1170906173,4370.0,4370.0,4792.0
MLA750043065,2529.0,2529.0,2529.0
MLA1111785513,3873.0,3873.0,3873.0
MLA1148413860,16344.0,16344.0,16344.0
MLA750044114,2156.0,2156.0,1617.0
MLA720773730,7828.0,7828.0,7828.0
MLA745026598,7192.0,7192.0,7192.0
MLA898912088,27709.15,27709.15,26079.2
MLA1144109895,15750.0,15750.0,15750.0
MLA1123750949,32149.0,32149.0,32149.0
MLA1379760247,18996.0,18996.0,19471.0
MLA926980466,13690.0,13690.0,13690.0
MLA1116990122,18000.0,18000.0,18000.0
MLA909658310,31612.58,31612.58,30153.0
MLA1404334754,28999.0,28999.0,31999.0
MLA849169334,24422.78,24422.78,24422.78
MLA663221627,41999.0,41999.0,41999.0
MLA772028247,6659.99,6659.99,6659.99
MLA1430026648,18996.0,18996.0,19471.0
MLA1492855786,4904.0,4904.0,4904.0
MLA856120716,20769.07,20769.07,20769.07
MLA922298981,7588.73,7588.73,7588.73
MLA1290394718,24600.0,24600.0,24600.0
MLA1130317750,38625.33,38625.33,38623.69
MLA1144083691,15750.0,15750.0,15750.0
MLA647952024,29999.0,29999.0,29999.0
MLA1347397384,17499.0,17499.0,17499.0
MLA735617598,44524.0,44524.0,41638.61
MLA1370347277,92999.0,92999.0,92999.0
MLA1123851839,54999.0,54999.0,53599.0
MLA777291316,58373.86,58373.86,76807.72
MLA1148498111,48899.0,48899.0,48899.0
MLA1178350640,66999.0,66999.0,65299.0
MLA1223936208,42755.0,42755.0,42755.0
MLA1216081540,123200.0,123200.0,123200.0
MLA1122040572,4480.0,4480.0,4480.0
MLA772027014,5719.99,5719.99,5719.99
MLA1320292630,84656.38,84656.38,88042.64
MLA1126288061,54899.0,54899.0,54899.0
MLA1128670666,7499.0,7499.0,7499.0
MLA854752378,18975.0,18975.0,14991.0
MLA1161253703,37321.18,37321.18,37321.18
MLA1100506181,47749.0,47749.0,47749.0
MLA865917108,9977.2,9977.2,9977.2
MLA1161279002,56448.26,56448.26,56448.26
MLA1235789874,123200.0,123200.0,123200.0
MLA1128676962,7499.0,7499.0,7499.0
MLA1120275948,45999.0,45999.0,45584.0
MLA1307619974,44000.0,44000.0,40744.0
MLA1138250853,48931.18,48931.18,48931.18
MLA918586554,48613.7,48613.7,48613.7
MLA1318243185,129908.76,129908.76,129908.76
MLA1367402279,13199.0,13199.0,13199.0
MLA1467003022,118100.0,118100.0,118100.0
MLA1128151554,135256.0,135256.0,153700.0
MLA918585847,49550.0,49550.0,49550.0
MLA1130311355,8199.0,8199.0,6149.25
MLA1400997422,7999.0,7999.0,7999.0
MLA1443608514,49999.0,49999.0,49999.0
MLA1123793882,32149.0,32149.0,32149.0
MLA1372863413,96768.25,96768.25,96768.25
MLA1384404579,27999.3,27999.3,29499.26
MLA1476021500,19727.0,19727.0,19583.32
MLA907074604,100971.0,100971.0,97942.0
MLA1372274513,29200.07,29200.07,31522.8
MLA1225382396,55746.95,55746.95,78626.0
MLA620325271,12178.0,12178.0,11898.0
MLA694760227,13068.0,13068.0,13068.0
MLA1145972783,130199.13,130199.13,130199.13
MLA1381447097,52945.0,52945.0,52945.0
MLA909405950,29999.0,29999.0,29999.0
MLA1135474872,20692.0,20692.0,20692.0
MLA1123531140,1567.34,1567.34,1567.34
MLA1464108846,4799.0,4799.0,4799.0
MLA640820309,20363.4,20363.4,20363.4
MLA1478726404,31990.0,31990.0,31990.0
MLA1122844503,31990.0,31990.0,31990.0
MLA1318236771,39461.51,39461.51,39461.51
MLA1385740027,35099.0,35099.0,35099.0
MLA1119901747,12805.82,12805.82,12805.82
MLA746715429,33205.0,33205.0,33205.0
MLA930729195,6800.0,6800.0,6800.0
MLA1147103913,34999.0,34999.0,34999.0
MLA1360594099,15423.8,15423.8,15423.8
